origin,body,frame,file,n_events,n_pairs,n_near45,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,samedate_sep_median,samedate_sep_p90,daily_drift_med_deg_per_day,operational_scale_flag
Asc,SA,G-RA,Asc_x_SA_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.66048062124311,same-slate-discriminator
Asc,SU,G-AZ,Asc_x_SU_G-AZ,46152,297352,80481,5.0,23.0,4.0,9.0,86.0,,same-slate-discriminator
Asc,SU,G-LON,Asc_x_SU_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.322098695790913,same-slate-discriminator
Asc,SU,G-RA,Asc_x_SU_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.827321710545675,same-slate-discriminator
Asc,UR,G-AZ,Asc_x_UR_G-AZ,46152,297352,80481,5.0,18.0,5.0,9.0,76.0,,same-slate-discriminator
Asc,UR,G-LON,Asc_x_UR_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.02720716306979,same-slate-discriminator
Asc,UR,G-RA,Asc_x_UR_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,21.72554430228223,same-slate-discriminator
Asc,VE,G-LON,Asc_x_VE_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.198489811813715,same-slate-discriminator
Asc,VE,G-RA,Asc_x_VE_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.87694205015157,same-slate-discriminator
Asc,VS,G-LON,Asc_x_VS_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.034129017080375,same-slate-discriminator
Asc,VS,G-RA,Asc_x_VS_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.709426546837022,same-slate-discriminator
EA G-LON,MO,G-LON_x_G-RA,EA_G-LON_x_MO_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,85.0,27.244101278070822,same-slate-discriminator
EA G-RA,MO,G-RA_x_G-LON,EA_G-RA_x_MO_G-LON,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.34033566562253,same-slate-discriminator
