origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
Asc,NN,G-AZ,45-90,53296,60.0,5.0,19.0
Asc,NN,G-AZ,90-180,70030,125.0,7.0,31.0
Asc,NN,G-AZ,180-360,65469,211.0,33.0,107.0
Asc,NN,G-AZ,>360,28565,418.0,80.0,127.0
Asc,NN,G-LON,<=15,54228,3.0,5.0,15.0
Asc,NN,G-LON,15-30,10357,25.0,6.0,18.0
Asc,NN,G-LON,30-45,15407,32.0,6.0,17.0
Asc,NN,G-LON,45-90,53296,60.0,5.0,16.0
Asc,NN,G-LON,90-180,70030,125.0,7.0,32.0
Asc,NN,G-LON,180-360,65469,211.0,46.0,85.0
Asc,NN,G-LON,>360,28565,418.0,79.0,105.0
Asc,NN,G-RA,<=15,54228,3.0,5.0,15.0
Asc,NN,G-RA,15-30,10357,25.0,6.0,18.0
Asc,NN,G-RA,30-45,15407,32.0,6.0,17.0
Asc,NN,G-RA,45-90,53296,60.0,5.0,16.0
Asc,NN,G-RA,90-180,70030,125.0,7.0,32.0
Asc,NN,G-RA,180-360,65469,211.0,45.0,88.0
Asc,NN,G-RA,>360,28565,418.0,78.0,108.0
Asc,PA,G-AZ,<=15,54228,3.0,5.0,18.0
Asc,PA,G-AZ,15-30,10357,25.0,5.0,21.0
Asc,PA,G-AZ,30-45,15407,32.0,5.0,19.0
Asc,PA,G-AZ,45-90,53296,60.0,5.0,19.0
Asc,PA,G-AZ,90-180,70030,125.0,6.0,30.0
Asc,PA,G-AZ,180-360,65469,211.0,31.0,100.0
Asc,PA,G-AZ,>360,28565,418.0,63.0,128.0
Asc,PA,G-LON,<=15,54228,3.0,5.0,15.0
Asc,PA,G-LON,15-30,10357,25.0,6.0,18.0
Asc,PA,G-LON,30-45,15407,32.0,6.0,17.0
Asc,PA,G-LON,45-90,53296,60.0,5.0,16.0
Asc,PA,G-LON,90-180,70030,125.0,7.0,32.0
Asc,PA,G-LON,180-360,65469,211.0,46.0,85.0
Asc,PA,G-LON,>360,28565,418.0,79.0,105.0
Asc,PA,G-RA,<=15,54228,3.0,5.0,15.0
Asc,PA,G-RA,15-30,10357,25.0,6.0,18.0
Asc,PA,G-RA,30-45,15407,32.0,6.0,17.0
Asc,PA,G-RA,45-90,53296,60.0,5.0,16.0
Asc,PA,G-RA,90-180,70030,125.0,7.0,32.0
Asc,PA,G-RA,180-360,65469,211.0,45.0,87.0
Asc,PA,G-RA,>360,28565,418.0,77.0,108.0
Asc,PFdn,G-LON,<=15,54228,3.0,0.0,0.0
Asc,PFdn,G-LON,15-30,10357,25.0,0.0,1.0
Asc,PFdn,G-LON,30-45,15407,32.0,0.0,1.0
Asc,PFdn,G-LON,45-90,53296,60.0,1.0,1.0
Asc,PFdn,G-LON,90-180,70030,125.0,1.0,2.0
Asc,PFdn,G-LON,180-360,65469,211.0,2.0,3.0
Asc,PFdn,G-LON,>360,28565,418.0,4.0,26.0
Asc,PFdn,G-RA,<=15,54228,3.0,0.0,2.0
Asc,PFdn,G-RA,15-30,10357,25.0,0.0,2.0
Asc,PFdn,G-RA,30-45,15407,32.0,1.0,2.0
Asc,PFdn,G-RA,45-90,53296,60.0,1.0,2.0
Asc,PFdn,G-RA,90-180,70030,125.0,1.0,5.0
Asc,PFdn,G-RA,180-360,65469,211.0,2.0,11.0
Asc,PFdn,G-RA,>360,28565,418.0,5.0,25.0
Asc,PFff,G-LON,<=15,54228,3.0,0.0,0.0
Asc,PFff,G-LON,15-30,10357,25.0,0.0,1.0
Asc,PFff,G-LON,30-45,15407,32.0,0.0,1.0
Asc,PFff,G-LON,45-90,53296,60.0,1.0,1.0
Asc,PFff,G-LON,90-180,70030,125.0,1.0,2.0
Asc,PFff,G-LON,180-360,65469,211.0,2.0,3.0
Asc,PFff,G-LON,>360,28565,418.0,4.0,5.0
Asc,PFff,G-RA,<=15,54228,3.0,0.0,1.0
Asc,PFff,G-RA,15-30,10357,25.0,0.0,2.0
Asc,PFff,G-RA,30-45,15407,32.0,0.0,1.3999999999996362
Asc,PFff,G-RA,45-90,53296,60.0,1.0,2.0
Asc,PFff,G-RA,90-180,70030,125.0,1.0,3.0
Asc,PFff,G-RA,180-360,65469,211.0,2.0,7.0
Asc,PFff,G-RA,>360,28565,418.0,4.0,11.0
Asc,PL,G-AZ,<=15,54228,3.0,6.0,20.0
