feature_id,track,origin,target_body,origin_frame,target_frame,frozen_resolution,modality,n_prominent_lobes,modality_5deg,modality_6deg,peak_deg_mean,peak_circ_sd,peak_lift_mean,peak_lift_min,support_min,local_grad_mean,hs16_prior,prior_shift,drop_candidate,engine_v1_candidate
EA G-RA x MA H-LON,helio,EA,MA,G-RA,H-LON,6.0,multimodal,3,multimodal,multimodal,244.6,47.9,1.1282,1.1139,419,0.021331,,,False,True
EA G-RA x PA H-LON,helio,EA,PA,G-RA,H-LON,5.0,multimodal,3,multimodal,multimodal,340.6,64.2,1.1493,1.1378,379,0.021383,,,False,True
EA G-RA x VS H-LON,helio,EA,VS,G-RA,H-LON,5.0,bimodal,2,bimodal,bimodal,132.3,62.0,1.1061,1.0961,338,0.018724,,,False,True
MC G-RA x CE H-LON,helio,MC,CE,G-RA,H-LON,5.0,multimodal,3,multimodal,bimodal,103.4,67.3,1.1385,1.1163,329,0.017848,,,False,True
MC G-RA x JN H-LON,helio,MC,JN,G-RA,H-LON,5.0,multimodal,3,multimodal,multimodal,242.1,39.6,1.1719,1.1473,269,0.022156,,,False,True
MC G-RA x MA H-LON,helio,MC,MA,G-RA,H-LON,6.0,multimodal,3,multimodal,multimodal,334.6,47.9,1.1282,1.1139,419,0.021331,,,False,True
MC G-RA x PA H-LON,helio,MC,PA,G-RA,H-LON,5.0,multimodal,3,multimodal,multimodal,70.6,64.2,1.1493,1.1378,379,0.021383,,,False,True
MC G-RA x VS H-LON,helio,MC,VS,G-RA,H-LON,5.0,bimodal,2,bimodal,bimodal,222.3,62.0,1.1061,1.0961,338,0.018724,,,False,True
VX G-RA x CE H-LON,helio,VX,CE,G-RA,H-LON,5.0,multimodal,3,multimodal,multimodal,35.7,84.1,1.1473,1.1324,352,0.022874,,,False,True
VX G-RA x JN H-LON,helio,VX,JN,G-RA,H-LON,5.0,bimodal,2,bimodal,bimodal,8.5,67.0,1.1339,1.1203,320,0.017391,,,False,True
VX G-RA x MA H-LON,helio,VX,MA,G-RA,H-LON,6.0,multimodal,3,multimodal,multimodal,134.9,38.0,1.188,1.1681,375,0.027269,,,False,True
VX G-RA x PA H-LON,helio,VX,PA,G-RA,H-LON,6.0,multimodal,3,multimodal,multimodal,161.4,70.2,1.1287,1.1193,475,0.018492,,,False,True
VX G-RA x VS H-LON,helio,VX,VS,G-RA,H-LON,6.0,bimodal,2,multimodal,bimodal,285.9,55.6,1.1206,1.1003,387,0.019609,,,False,True
