name,relative_path,parent_folder,suffix,size_kb,category,inferred_frames,is_csv,is_figure,is_document,sha256
EA_x_JN_G-AZ_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_JN_G-AZ_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,67.72,topology_atlas,G-AZ,True,False,False,1179e0bfda200b29ef88c20012a78bf64e6baa9ad684aaa9858db528bb97e092
VX_x_VS_G-LON_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-LON_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.51,topology_atlas,G-LON,True,False,False,81c1391750ac2124bd43dbeeb157782bc025a1506d872969d127c9bd894ef55a
VX_x_VS_G-RA_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-RA_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.62,topology_atlas,G-RA,True,False,False,45a9808a117f478cbf09b8db343aac8eacbd9d59ac6524494473ce6262a3c0dd
VX_x_VS_G-LON_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-LON_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.99,topology_atlas,G-LON,True,False,False,f89a650ff86d2c470dbf039e6c32c4b66126c9fe8956f0e2dcffd33a8dcd38c0
EA_x_CE_G-RA_LS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-RA_LS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.36,topology_atlas,G-RA,True,False,False,d95d79d70288b78515d4a78c4a97b4df90db996933ada61c302488fa8bf0232b
EA_x_CE_G-RA_HS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-RA_HS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.31,topology_atlas,G-RA,True,False,False,7f079c132f723f222c32e526c4b7c8519f1545a3b840c3c927417c95ef3dd8df
EA_x_JN_G-AZ_HS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_JN_G-AZ_HS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.05,topology_atlas,G-AZ,True,False,False,b4362dc01c2768131ce52d0d77482e803ad710162238720aa38f81e27c167352
EA_x_CE_G-RA_LS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-RA_LS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,67.93,topology_atlas,G-RA,True,False,False,dfa7f1fa21e631564574147c0dc6db3b8881cbfcf35d97062b9606e3515ec849
VX_x_VS_G-LON_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-LON_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.62,topology_atlas,G-LON,True,False,False,31209d7ee2a93bc36dababf075ab8e3350e3dc66093261a84392044d71e268c4
VX_x_VS_G-LON_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-LON_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,69.05,topology_atlas,G-LON,True,False,False,df9d5034d0b77a5abe19d6027109a12f761b2f09c8d250964b488c8eb8045719
