fold,feature_id,resolution,peak_degree,peak_rate,peak_lift,support_at_peak,local_gradient,below_support_floor,hs16_prior,peak_shift_from_hs16
4,EA x MO G-LON,5.0,267,0.5167,1.1121,360,0.024784,False,29.0,122.0
4,EA x VS G-LON,5.0,19,0.5276,1.1358,199,0.030278,False,45.0,26.0
4,MC x CE G-LON,5.0,42,0.5212,1.1218,378,0.018485,False,138.0,96.0
4,MC x MA G-LON,5.0,95,0.5404,1.1632,161,0.041122,False,109.0,14.0
4,MC x PA G-LON,5.0,178,0.5354,1.1524,325,0.017203,False,156.0,22.0
4,MC x VS G-LON,5.0,68,0.5201,1.1196,273,0.032691,False,160.0,92.0
4,VX x CE G-LON,6.0,97,0.53,1.1409,483,0.020756,False,219.0,122.0
4,VX x MA G-LON,6.0,169,0.5556,1.1959,243,0.040984,False,135.0,34.0
4,VX x MO G-LON,6.0,63,0.5275,1.1356,472,0.020197,False,176.0,113.0
4,VX x PA G-LON,6.0,60,0.5295,1.1398,542,0.016875,False,62.0,2.0
4,VX x VS G-LON,6.0,308,0.5268,1.134,615,0.023349,False,325.0,17.0
4,EA G-LON x MO G-RA,5.0,66,0.5147,1.1078,375,0.013547,False,28.0,38.0
4,MC G-LON x MO G-RA,5.0,9,0.5365,1.1547,384,0.017906,False,117.0,108.0
4,VX G-LON x MO G-RA,6.0,41,0.5088,1.0952,456,0.017235,False,80.0,39.0
4,VX G-RA x MO G-LON,6.0,61,0.5312,1.1434,465,0.024854,False,354.0,67.0
4,Asc x JN G-RA,5.0,258,0.5294,1.1396,476,0.017922,False,122.0,136.0
4,Asc x MA G-RA,5.0,33,0.533,1.1472,182,0.035824,False,63.0,30.0
4,Asc x PA G-RA,5.0,18,0.5389,1.16,347,0.017595,False,87.0,69.0
4,EA x CE G-RA,5.0,317,0.5278,1.1361,360,0.014153,False,329.0,12.0
4,EA x MO G-RA,5.0,279,0.53,1.1409,383,0.018398,False,79.0,160.0
4,EA x VS G-RA,5.0,22,0.532,1.1452,203,0.027265,False,323.0,59.0
4,MC x CE G-RA,5.0,47,0.5278,1.1361,360,0.014153,False,59.0,12.0
4,MC x VS G-RA,5.0,112,0.532,1.1452,203,0.027265,False,53.0,59.0
4,VX x MA G-RA,6.0,169,0.5612,1.208,237,0.033985,False,169.0,0.0
4,VX x PA G-RA,6.0,62,0.5261,1.1325,517,0.015225,False,219.0,157.0
4,Asc x JU G-AZ,6.0,38,0.55,1.1839,420,0.023313,False,70.0,32.0
4,Asc x NN G-AZ,6.0,267,0.5178,1.1146,253,0.025715,False,295.0,28.0
4,EA x JU G-AZ,6.0,48,0.5344,1.1502,393,0.022107,False,80.0,32.0
4,EA x NN G-AZ,6.0,47,0.5248,1.1298,322,0.019346,False,82.0,35.0
4,Asc x SA G-AZ,6.0,235,0.5474,1.1783,232,0.022553,False,252.0,17.0
4,EA x SA G-AZ,6.0,234,0.5725,1.2324,262,0.026214,False,261.0,27.0
5,Asc x JN G-AZ,6.0,48,0.5233,1.1335,300,0.020786,False,30.0,18.0
5,Asc x MA G-AZ,6.0,291,0.5404,1.1704,161,0.043264,False,255.0,36.0
5,Asc x MO G-AZ,6.0,295,0.5587,1.2101,247,0.037037,False,77.0,142.0
5,Asc x PA G-AZ,5.0,12,0.5524,1.1965,353,0.014942,False,78.0,66.0
5,Asc x VS G-AZ,6.0,284,0.5294,1.1466,187,0.031269,False,260.0,24.0
5,EA x CE G-AZ,6.0,260,0.5263,1.1399,209,0.024012,False,117.0,143.0
5,EA x JN G-AZ,6.0,120,0.5235,1.1338,405,0.011157,False,93.0,27.0
5,EA x MA G-AZ,6.0,80,0.5282,1.144,284,0.026564,False,283.0,157.0
5,EA x MO G-AZ,6.0,62,0.5539,1.1997,269,0.027386,False,290.0,132.0
5,EA x PA G-AZ,6.0,271,0.5366,1.1622,287,0.019007,False,92.0,179.0
5,EA x VS G-AZ,6.0,290,0.5276,1.1428,199,0.039953,False,307.0,17.0
5,Asc x CE G-LON,5.0,55,0.542,1.174,345,0.016968,False,54.0,1.0
5,Asc x JN G-LON,5.0,321,0.5116,1.108,432,0.018774,False,124.0,163.0
5,Asc x MA G-LON,5.0,288,0.5284,1.1444,405,0.033086,False,93.0,165.0
5,Asc x PA G-LON,5.0,97,0.5292,1.1463,325,0.0262,False,285.0,172.0
5,Asc x VS G-LON,5.0,77,0.5269,1.1412,279,0.029412,False,96.0,19.0
5,EA x MA G-LON,5.0,51,0.5268,1.1411,205,0.026829,False,341.0,70.0
5,EA x MO G-LON,5.0,273,0.5426,1.1751,376,0.024418,False,29.0,116.0
5,EA x VS G-LON,5.0,85,0.5307,1.1494,326,0.023463,False,45.0,40.0
5,MC x CE G-LON,5.0,113,0.5265,1.1403,283,0.03184,False,138.0,25.0
5,MC x MA G-LON,5.0,59,0.5175,1.1209,257,0.019386,False,109.0,50.0
5,MC x PA G-LON,5.0,68,0.5602,1.2134,357,0.02381,False,156.0,88.0
5,MC x VS G-LON,5.0,178,0.523,1.1327,348,0.018901,False,160.0,18.0
5,VX x CE G-LON,6.0,194,0.5315,1.1512,365,0.016544,False,219.0,25.0
5,VX x MA G-LON,6.0,163,0.5437,1.1777,263,0.0178,False,135.0,28.0
5,VX x MO G-LON,6.0,64,0.5355,1.1598,437,0.021584,False,176.0,112.0
5,VX x PA G-LON,6.0,241,0.5117,1.1082,428,0.018223,False,62.0,179.0
5,VX x VS G-LON,6.0,317,0.5149,1.1151,639,0.016459,False,325.0,8.0
