feature_id,feature_key,source_file,source_path,system_pair,matrix_rows,matrix_aspect_feature_columns,feature_name,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier,h_lon_origin_in_scope,analysis_scope_flag
ME G-AZ x SU G-LON,ME_G_AZ_SU_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x SU G-LON,ME,G-AZ,SU,G-LON,cross,heliocentric_origin,Constrained-motion,True,in_scope
ME G-AZ x MA G-LON,ME_G_AZ_MA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x MA G-LON,ME,G-AZ,MA,G-LON,cross,heliocentric_origin,Tier A,True,in_scope
ME G-AZ x JN G-LON,ME_G_AZ_JN_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x JN G-LON,ME,G-AZ,JN,G-LON,cross,heliocentric_origin,Tier A,True,in_scope
ME G-AZ x CE G-LON,ME_G_AZ_CE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x CE G-LON,ME,G-AZ,CE,G-LON,cross,heliocentric_origin,Tier A,True,in_scope
ME G-AZ x VS G-LON,ME_G_AZ_VS_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x VS G-LON,ME,G-AZ,VS,G-LON,cross,heliocentric_origin,Tier A,True,in_scope
ME G-AZ x PA G-LON,ME_G_AZ_PA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x PA G-LON,ME,G-AZ,PA,G-LON,cross,heliocentric_origin,Tier A,True,in_scope
ME G-AZ x JU G-LON,ME_G_AZ_JU_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x JU G-LON,ME,G-AZ,JU,G-LON,cross,heliocentric_origin,Tier B,True,in_scope
ME G-AZ x NN G-LON,ME_G_AZ_NN_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x NN G-LON,ME,G-AZ,NN,G-LON,cross,heliocentric_origin,Tier B,True,in_scope
ME G-AZ x SA G-LON,ME_G_AZ_SA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x SA G-LON,ME,G-AZ,SA,G-LON,cross,heliocentric_origin,Tier C,True,in_scope
ME G-AZ x UR G-LON,ME_G_AZ_UR_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x UR G-LON,ME,G-AZ,UR,G-LON,cross,heliocentric_origin,Sparse-coverage,True,in_scope
ME G-AZ x NE G-LON,ME_G_AZ_NE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x NE G-LON,ME,G-AZ,NE,G-LON,cross,heliocentric_origin,Sparse-coverage,True,in_scope
ME G-AZ x PL G-LON,ME_G_AZ_PL_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x PL G-LON,ME,G-AZ,PL,G-LON,cross,heliocentric_origin,Sparse-coverage,True,in_scope
